Code;Name;Type
11.01.10.2003;Silolo;6
11.01.10.2004;Kampung Baru;6
11.01.10.2005;Panton Bili;6
11.01.10.2006;Paya Ateuk;6
11.01.10.2007;Ladang Tuha;6
11.01.10.2008;Mata Ie;6
11.01.10.2009;Ujong Batee;6
11.01.10.2010;Lhok Sialang Cut;6
11.01.10.2011;Seuneubok;6
11.01.10.2012;Ie Mirah;6
11.01.10.2013;Pasie Rasian;6
11.01.10.2014;Ujung Padang Rasian;6
11.01.10.2015;Krueng Kalee;6
11.01.10.2016;Lhok Sialang Rayeuk;6
11.01.10.2017;Gampong Baro;6
11.01.10.2018;Teupin Gajah;6
11.01.10.2019;Ujung Padang Asahan;6
11.01.10.2020;Pulo Ie II;6
11.01.10.2021;Pante Raja;6
11.01.11;Labuhanhaji Timur;4
11.01.11.2001;Tengah Peulumat;6
11.01.11.2002;Paya Peulumat;6
11.01.11.2003;Padang Peulumat;6
11.01.11.2004;Aur Peulumat;6
11.01.11.2005;Limau Saring;6
11.01.11.2006;Beutong;6
11.01.11.2007;Peuneulop;6
11.01.11.2008;Gunung Rotan;6
11.01.11.2009;Keumumu Hilir;6
11.01.11.2010;Keumumu Hulu;6
11.01.11.2011;Keumumu Seberang;6
11.01.11.2012;Sawang Indah;6
11.01.12;Labuhanhaji Barat;4
11.01.12.2001;Tutong;6
11.01.12.2002;Teungoh Iboh;6
11.01.12.2003;Peulokan;6
11.01.12.2004;Kuta Iboh;6
11.01.12.2005;Ujung Padang;6
11.01.12.2006;Blang Baru;6
11.01.12.2007;Blang Poroh;6
11.01.12.2008;Pulo Ie;6
11.01.12.2009;Suak Lokan;6
11.01.12.2010;Iku Lhueng;6
11.01.12.2011;Kuta Trieng;6
11.01.12.2012;Pante Geulima;6
11.01.12.2013;Panton Pawoh;6
11.01.12.2014;Batee Meucanang;6
11.01.12.2015;Panton Rubek;6
11.01.13;Kluet Tengah;4
11.01.13.2001;Koto;6
11.01.13.2002;Alur Keujrun;6
11.01.13.2003;Jambo Papan;6
11.01.13.2004;Malaka;6
11.01.13.2005;Koto Indarung;6
11.01.13.2006;Siurai-Urai;6
11.01.13.2007;Kampung Sawah;6
11.01.13.2008;Kampung Padang;6
11.01.13.2009;Pulo Air;6
11.01.13.2010;Lawe Melang;6
11.01.13.2011;Mersak;6
11.01.13.2012;Simpang Dua;6
11.01.13.2013;Simpang Tiga;6
11.01.14;Kluet Timur;4
11.01.14.2001;Paya Dapur;6
11.01.14.2002;Sapik;6
11.01.14.2003;Alai;6
11.01.14.2004;Durian Kawan;6
11.01.14.2005;Lawe Sawah;6
11.01.14.2006;Lawe Buluh Didi;6
11.01.14.2007;Pucuk Lembang;6
11.01.14.2008;Paya Laba;6
